organization,contact_name,contact_email,contact_phone,resource_category,resources_offered,notes,service_area_city,service_area_state,availability_window,skills,capacity_notes,source_platform,source_id,last_updated,latitude,longitude
NY Community Aid Org 3,Coordinator NY3,coordny3@voad.org,+1-703-555-2002,Logistics,childcare,Childcare available for impacted residents; priority for seniors and families.,Syracuse,NY,weekends only,Logistics,2 vans available,VOAD,voad-ny-003,2025-09-27T12:00:00,40.72280,-73.99600
NY Community Aid Org 4,Coordinator NY4,coordny4@voad.org,+1-703-555-2003,Housing,debris removal,Debris removal available for impacted residents; priority for seniors and families.,Albany,NY,same-day,Driver,5 rooms for a week,VOAD,voad-ny-004,2025-09-26T12:00:00,40.72780,-73.99100
NY Community Aid Org 5,Coordinator NY5,coordny5@voad.org,+1-703-555-2004,Legal,language translation,Language translation available for impacted residents; priority for seniors and families.,Yonkers,NY,24-48 hours,Chef,up to 100 meals/day,VOAD,voad-ny-005,2025-09-25T12:00:00,40.73280,-73.98600
NY Community Aid Org 6,Coordinator NY6,coordny6@voad.org,+1-703-555-2005,Technology,legal aid,Legal aid available for impacted residents; priority for seniors and families.,New York,NY,week-long,Counselor,2 EMTs per shift,VOAD,voad-ny-006,2025-09-24T12:00:00,40.73780,-73.98100
NY Community Aid Org 7,Coordinator NY7,coordny7@voad.org,+1-703-555-2006,Food,internet access,Internet access available for impacted residents; priority for seniors and families.,Buffalo,NY,weekends only,IT support,2 vans available,VOAD,voad-ny-007,2025-09-23T12:00:00,40.74280,-73.97600
NY Community Aid Org 8,Coordinator NY8,coordny8@voad.org,+1-703-555-2007,Medical,charging stations,Charging stations available for impacted residents; priority for seniors and families.,Rochester,NY,same-day,CPR,5 rooms for a week,VOAD,voad-ny-008,2025-09-22T12:00:00,40.74780,-73.97100
NY Community Aid Org 9,Coordinator NY9,coordny9@voad.org,+1-703-555-2008,Logistics,mental health support,Mental health support available for impacted residents; priority for seniors and families.,Syracuse,NY,24-48 hours,EMT,up to 100 meals/day,VOAD,voad-ny-009,2025-09-21T12:00:00,40.75280,-73.96600
NY Community Aid Org 10,Coordinator NY10,coordny10@voad.org,+1-703-555-2009,Housing,volunteer labor,Volunteer labor available for impacted residents; priority for seniors and families.,Albany,NY,week-long,Spanish,2 EMTs per shift,VOAD,voad-ny-010,2025-09-20T12:00:00,40.75780,-73.96100
NY Community Aid Org 11,Coordinator NY11,coordny11@voad.org,+1-703-555-2010,Legal,construction tools,Construction tools available for impacted residents; priority for seniors and families.,Yonkers,NY,weekends only,ASL,2 vans available,VOAD,voad-ny-011,2025-09-19T12:00:00,40.76280,-73.95600
NY Community Aid Org 12,Coordinator NY12,coordny12@voad.org,+1-703-555-2011,Technology,water distribution,Water distribution available for impacted residents; priority for seniors and families.,New York,NY,same-day,Logistics,5 rooms for a week,VOAD,voad-ny-012,2025-09-18T12:00:00,40.76780,-73.95100
FL Community Aid Org 1,Coordinator FL1,coordfl1@voad.org,+1-703-555-2000,Food,temporary housing,Temporary housing available for impacted residents; priority for seniors and families.,Orlando,FL,24-48 hours,Spanish,up to 100 meals/day,VOAD,voad-fl-001,2025-09-29T12:00:00,25.76170,-80.19180
FL Community Aid Org 2,Coordinator FL2,coordfl2@voad.org,+1-703-555-2001,Medical,pet fostering,Pet fostering available for impacted residents; priority for seniors and families.,Tampa,FL,week-long,ASL,2 EMTs per shift,VOAD,voad-fl-002,2025-09-28T12:00:00,25.76670,-80.18680
FL Community Aid Org 3,Coordinator FL3,coordfl3@voad.org,+1-703-555-2002,Logistics,childcare,Childcare available for impacted residents; priority for seniors and families.,Jacksonville,FL,weekends only,Logistics,2 vans available,VOAD,voad-fl-003,2025-09-27T12:00:00,25.77170,-80.18180
FL Community Aid Org 4,Coordinator FL4,coordfl4@voad.org,+1-703-555-2003,Housing,debris removal,Debris removal available for impacted residents; priority for seniors and families.,Tallahassee,FL,same-day,Driver,5 rooms for a week,VOAD,voad-fl-004,2025-09-26T12:00:00,25.77670,-80.17680
FL Community Aid Org 5,Coordinator FL5,coordfl5@voad.org,+1-703-555-2004,Legal,language translation,Language translation available for impacted residents; priority for seniors and families.,Fort Lauderdale,FL,24-48 hours,Chef,up to 100 meals/day,VOAD,voad-fl-005,2025-09-25T12:00:00,25.78170,-80.17180
FL Community Aid Org 6,Coordinator FL6,coordfl6@voad.org,+1-703-555-2005,Technology,legal aid,Legal aid available for impacted residents; priority for seniors and families.,Miami,FL,week-long,Counselor,2 EMTs per shift,VOAD,voad-fl-006,2025-09-24T12:00:00,25.78670,-80.16680
FL Community Aid Org 7,Coordinator FL7,coordfl7@voad.org,+1-703-555-2006,Food,internet access,Internet access available for impacted residents; priority for seniors and families.,Orlando,FL,weekends only,IT support,2 vans available,VOAD,voad-fl-007,2025-09-23T12:00:00,25.79170,-80.16180
FL Community Aid Org 8,Coordinator FL8,coordfl8@voad.org,+1-703-555-2007,Medical,charging stations,Charging stations available for impacted residents; priority for seniors and families.,Tampa,FL,same-day,CPR,5 rooms for a week,VOAD,voad-fl-008,2025-09-22T12:00:00,25.79670,-80.15680
FL Community Aid Org 9,Coordinator FL9,coordfl9@voad.org,+1-703-555-2008,Logistics,mental health support,Mental health support available for impacted residents; priority for seniors and families.,Jacksonville,FL,24-48 hours,EMT,up to 100 meals/day,VOAD,voad-fl-009,2025-09-21T12:00:00,25.80170,-80.15180
FL Community Aid Org 10,Coordinator FL10,coordfl10@voad.org,+1-703-555-2009,Housing,volunteer labor,Volunteer labor available for impacted residents; priority for seniors and families.,Tallahassee,FL,week-long,Spanish,2 EMTs per shift,VOAD,voad-fl-010,2025-09-20T12:00:00,25.80670,-80.14680
FL Community Aid Org 11,Coordinator FL11,coordfl11@voad.org,+1-703-555-2010,Legal,construction tools,Construction tools available for impacted residents; priority for seniors and families.,Fort Lauderdale,FL,weekends only,ASL,2 vans available,VOAD,voad-fl-011,2025-09-19T12:00:00,25.81170,-80.14180
FL Community Aid Org 12,Coordinator FL12,coordfl12@voad.org,+1-703-555-2011,Technology,water distribution,Water distribution available for impacted residents; priority for seniors and families.,Miami,FL,same-day,Logistics,5 rooms for a week,VOAD,voad-fl-012,2025-09-18T12:00:00,25.81670,-80.13680
